category,metric,value
PERIOD,baseline_available,True
PERIOD,current_snapshot_date,2026-08-16
PERIOD,previous_snapshot_date,2026-08-09
PERIOD,period_days,7
PERIOD,period_weeks,1.0
PERIOD,is_multi_week,False
PERIOD,note,Current comparison covers 7 days — treated as a single weekly snapshot.
NETWORK_GROWTH,total_connections_current,11939
NETWORK_GROWTH,total_connections_previous,11803
NETWORK_GROWTH,new_connections_count,164
NETWORK_GROWTH,new_connections_delta,136
NETWORK_GROWTH,new_connections_target_min,20
NETWORK_GROWTH,new_connections_target_max,40
NETWORK_GROWTH,new_connections_progress_pct,410.0
NETWORK_GROWTH,new_connections_status,AHEAD
NETWORK_GROWTH,new_connections_period_actual,164
NETWORK_GROWTH,new_connections_weekly_pace,164.0
NETWORK_GROWTH,new_connections_period_target_min,20.0
NETWORK_GROWTH,new_connections_period_target_max,40.0
NETWORK_GROWTH,gross_new_connections,164
NETWORK_GROWTH,net_connection_growth,136
NETWORK_GROWTH,connection_churn_or_removed_estimate,28
NETWORK_GROWTH,gross_vs_net_note,"Gross new connections can be higher than net growth when some prior connections disappear, are removed, or exports change."
STRATEGIC_GROWTH,new_latam_usd_connections,20
STRATEGIC_GROWTH,new_us_nearshore_connections,4
STRATEGIC_GROWTH,new_spain_eu_connections,3
STRATEGIC_GROWTH,new_global_staffing_connections,6
STRATEGIC_GROWTH,new_global_opportunity_connections,60
STRATEGIC_GROWTH,primary_focus_new_connections,50
STRATEGIC_GROWTH,primary_focus_weekly_pace,50.0
STRATEGIC_GROWTH,europe_exploratory_new_connections,5
STRATEGIC_GROWTH,europe_exploratory_period_actual,5
STRATEGIC_GROWTH,europe_exploratory_weekly_pace,5.0
STRATEGIC_GROWTH,europe_exploratory_weekly_target_min,5
STRATEGIC_GROWTH,europe_exploratory_weekly_target_max,10
STRATEGIC_GROWTH,europe_exploratory_period_target_min,5.0
STRATEGIC_GROWTH,europe_exploratory_period_target_max,10.0
STRATEGIC_GROWTH,europe_exploratory_pace_status,ON_TRACK
STRATEGIC_GROWTH,unclassified_new_connections,109
STRATEGIC_GROWTH,unclassified_share,0.6646
STRATEGIC_GROWTH,actual_primary_share,0.9091
STRATEGIC_GROWTH,actual_europe_share,0.0909
STRATEGIC_GROWTH,target_primary_share,0.9
STRATEGIC_GROWTH,target_europe_share,0.1
STRATEGIC_GROWTH,strategy_mix_status,ON_STRATEGY
STRATEGIC_GROWTH,classification_risk_status,CLASSIFICATION_BACKLOG_INCREASED
PERSONA_GROWTH,new_recruiters,39
PERSONA_GROWTH,new_recruiters_weekly_pace,39.0
PERSONA_GROWTH,new_talent_acquisition,65
PERSONA_GROWTH,new_talent_acquisition_weekly_pace,65.0
PERSONA_GROWTH,new_hiring_managers,0
PERSONA_GROWTH,new_hiring_managers_weekly_pace,0.0
PERSONA_GROWTH,new_data_leaders,1
PERSONA_GROWTH,new_data_leaders_weekly_pace,1.0
PERSONA_GROWTH,new_data_peers,6
PERSONA_GROWTH,new_data_peers_weekly_pace,6.0
PERSONA_GROWTH,new_executives,2
PERSONA_GROWTH,new_executives_weekly_pace,2.0
LEAD_REACTIVATION,conversations_current,4662
LEAD_REACTIVATION,conversations_previous,4487
LEAD_REACTIVATION,new_conversations_started,175
LEAD_REACTIVATION,new_conversations_weekly_pace,175.0
LEAD_REACTIVATION,reactivation_weekly_target_min,15
LEAD_REACTIVATION,reactivation_weekly_target_max,25
LEAD_REACTIVATION,reactivation_period_target_min,15.0
LEAD_REACTIVATION,reactivation_period_target_max,25.0
LEAD_REACTIVATION,reactivation_pace_status,AHEAD
LEAD_REACTIVATION,followups_due_current,1128
LEAD_REACTIVATION,needs_my_response_current,72
LEAD_REACTIVATION,needs_my_response_previous,69
LEAD_REACTIVATION,needs_my_response_delta,3
LEAD_REACTIVATION,hot_reactivation_current,141
LEAD_REACTIVATION,hot_reactivation_previous,135
LEAD_REACTIVATION,hot_reactivation_delta,6
LEAD_REACTIVATION,warm_reactivation_current,2882
LEAD_REACTIVATION,warm_reactivation_previous,2737
LEAD_REACTIVATION,warm_reactivation_delta,145
LEAD_REACTIVATION,dormant_warm_current,117
LEAD_REACTIVATION,rejected_closed_current,52
UNTAPPED_NETWORK,never_contacted_current,7297
UNTAPPED_NETWORK,never_contacted_previous,7337
UNTAPPED_NETWORK,high_value_untapped_current,28
UNTAPPED_NETWORK,high_value_untapped_previous,65
UNTAPPED_NETWORK,untapped_activated_this_week,40
UNTAPPED_NETWORK,untapped_activated_weekly_pace,40.0
UNTAPPED_NETWORK,untapped_outreach_weekly_target_min,10
UNTAPPED_NETWORK,untapped_outreach_weekly_target_max,20
UNTAPPED_NETWORK,untapped_activated_pace_status,AHEAD
UNTAPPED_NETWORK,new_connections_not_contacted_yet,60
UNTAPPED_NETWORK,untapped_queue_completed_estimate,20
UNTAPPED_NETWORK,untapped_backlog_change,-37
UNTAPPED_NETWORK,available,True
TOP_CONTACTS,top_priority_contacts_current,246
TOP_CONTACTS,top_priority_contacts_previous,235
TOP_CONTACTS,outreach_adjusted_score_avg_current,49.4
TOP_CONTACTS,outreach_adjusted_score_avg_previous,50.2
DATA_QUALITY,needs_company_mapping_current,2341
DATA_QUALITY,needs_company_mapping_previous,2349
DATA_QUALITY,needs_company_mapping_delta,-8
DATA_QUALITY,business_classification_coverage_current,99.1
DATA_QUALITY,confirmed_geographic_signals_current,3305
MANUAL_ACTIVITY,manual_activity_available,False
