company_name,company_follow_key,followed_on,days_since_followed,match_method,match_confidence,matched_connection_company_keys,matched_connection_count,likely_company_category,likely_opportunity_bucket,follow_signal_confidence,company_follow_reason
Telnyx,telnyx,2026-08-28,3,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Dura Digital,dura,2026-08-27,4,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Ewents,ewents,2026-08-26,5,exact_normalized,0.95,ewents,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
pulse by solutions,pulse by,2026-08-22,9,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Celonis,celonis,2026-08-22,9,exact_normalized,0.95,celonis,3,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
ENEFIT,enefit,2026-08-20,11,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Epassi Deutschland,epassi deutschland,2026-08-19,12,exact_normalized,0.95,epassi deutschland,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
WeCogno,wecogno,2026-08-19,12,exact_normalized,0.95,wecogno,2,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Limpotel Sol,limpotel sol,2026-08-17,14,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
MyControlHR,mycontrolhr,2026-08-17,14,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Remote Job Hub,remote job hub,2026-08-17,14,no_match,0.0,,0,,GLOBAL_OPPORTUNITY,0.7,international/remote keyword in company name
Rising Capital Humano,rising capital humano,2026-08-14,17,token_overlap_fuzzy,0.78,elos capital humano,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Cloud Employee,cloud employee,2026-08-14,17,exact_normalized,0.95,cloud employee,2,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Recrucial,recrucial,2026-08-14,17,exact_normalized,0.95,recrucial,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
"Svitla Systems, Inc.",svitla systems,2026-08-13,18,exact_normalized,0.95,svitla systems,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
