raw_company,canonical_company,similarity_score,cluster_reason,accepted,confidence
&V Recruitment,CSV RECRUITMENT,89.7,below conservative threshold — not merged,False,
"AQUA Information Systems, Inc",NSR INFORMATION SYSTEMS,85.1,below conservative threshold — not merged,False,
Afriam International,YARA INTERNATIONAL,89.5,below conservative threshold — not merged,False,
Apex Resources Ltd,NEXA RESOURCES,85.7,below conservative threshold — not merged,False,
Arrow Electronics,POWER ELECTRONICS,82.4,below conservative threshold — not merged,False,
Avant Business Services,NTT DATA BUSINESS,83.9,below conservative threshold — not merged,False,
Baril Advogados,BICHARA ADVOGADOS,81.2,below conservative threshold — not merged,False,
Be Intelligence,INTELLIGENCE,88.9,below conservative threshold — not merged,False,
Bluer Tecnologia,RK TECNOLOGIA,82.8,below conservative threshold — not merged,False,
Bravos Energía,BRAVA ENERGIA,81.5,below conservative threshold — not merged,False,
CJ Recruitment,CSV RECRUITMENT,89.7,below conservative threshold — not merged,False,
COREX Logistics,DC LOGISTICS,81.5,below conservative threshold — not merged,False,
Change Recruitment,COMBINE RECRUITMENT,81.1,below conservative threshold — not merged,False,
Cona Consultores,AR CONSULTORES,86.7,below conservative threshold — not merged,False,
Consultant / Self-Employed,SELF-EMPLOYED CONTRACTOR,80.0,below conservative threshold — not merged,False,
ELOS CAPITAL HUMANO,FOX HUMAN CAPITAL,83.3,below conservative threshold — not merged,False,
Eixo Recursos Humanos,RECURSOS HUMANOS,86.5,below conservative threshold — not merged,False,
Ello Pessoas e Negócios,GCF PESSOAS DE NEGÓCIOS,82.6,below conservative threshold — not merged,False,
Empresas Melón,EMPRESAS IMAN,81.5,below conservative threshold — not merged,False,
F1RST Tecnologia,RK TECNOLOGIA,82.8,below conservative threshold — not merged,False,
FALKEN Group Personalberatung GmbH,PAPE PERSONALBERATUNG,86.4,below conservative threshold — not merged,False,
Fadel Transportes e Logística,LVA LOGÍSTICA E TRANSPORTE,87.3,below conservative threshold — not merged,False,
Fami Capital,FAZ CAPITAL,87.0,below conservative threshold — not merged,False,
Foco Aluguel de Carros,MOVIDA ALUGUEL DE CARROS,82.6,below conservative threshold — not merged,False,
Forma Independiente,INDEPENDIENTE,81.2,below conservative threshold — not merged,False,
GRUPO EDUCACIONAL DRUMMOND,GRUPO EDUCACIONAL PRIMUM,84.0,below conservative threshold — not merged,False,
Gesta Soluciones en Recursos Humanos,ASCIENDE SOLUCIONES EN RECURSOS HUMANOS,85.3,below conservative threshold — not merged,False,
Global Coach Consultores,AGLH CONSULTORES,84.8,below conservative threshold — not merged,False,
Gravitas Recruitment Group (Global) Ltd,GRAVITAS RECRUITMENT (UK),95.8,token_set_ratio>=90 + shared meaningful token,True,0.68
Grooo International,INTERNATIONAL SOS,83.3,below conservative threshold — not merged,False,
Grupo Bringel Oficial,GRUPO QUERINO OFICIAL,81.0,below conservative threshold — not merged,False,
Hire International,REWE INTERNATIONAL,88.9,below conservative threshold — not merged,False,
Hirsch Personalberatung,KAISER PERSONALBERATUNG,82.6,below conservative threshold — not merged,False,
IKO International,INTERNATIONAL SOS,88.2,below conservative threshold — not merged,False,
IO TECNOLOGIA E SERVICOS LTDA,GTCON TECNOLOGIA & SERVIÇOS,82.4,below conservative threshold — not merged,False,
Intertec International,INTEGRATION INTERNATIONAL,85.1,below conservative threshold — not merged,False,
Join Talent,ORION TALENT,87.0,below conservative threshold — not merged,False,
KI people,PIN PEOPLE,84.2,below conservative threshold — not merged,False,
LCM Energy,CS ENERGY,84.2,below conservative threshold — not merged,False,
LG Consultores,AGLH CONSULTORES,86.7,below conservative threshold — not merged,False,
LHP Engineering Solutions,ENGINEERING,84.6,below conservative threshold — not merged,False,
LYNK Human Capital,FOX HUMAN CAPITAL,80.0,below conservative threshold — not merged,False,
LanceSoft UAE,LANCESOFT,81.8,below conservative threshold — not merged,False,
Maria Enterprise,AMM ENTERPRISE,80.0,below conservative threshold — not merged,False,
Mineral Resources,NEXA RESOURCES,83.9,below conservative threshold — not merged,False,
Nômad Recursos Humanos,ADMITA RECURSOS HUMANOS,84.4,below conservative threshold — not merged,False,
Ocean Investment,CANDOR INVESTMENT,84.8,below conservative threshold — not merged,False,
Page Executive,HAGER EXECUTIVE,89.7,below conservative threshold — not merged,False,
Pontifícia Universidade Católica do Rio Grande do Sul,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,84.8,below conservative threshold — not merged,False,
Presence Tecnologia,OPEN TECNOLOGIA,82.4,below conservative threshold — not merged,False,
ProV International,INTERNATIONAL SOS,85.7,below conservative threshold — not merged,False,
Recruitment Circle,COMBINE RECRUITMENT,81.1,below conservative threshold — not merged,False,
Reed Recruitment Malta,AVATAR RECRUITMENT,80.0,below conservative threshold — not merged,False,
SOUTH SYSTEM,SYSTEM SOFT,87.0,below conservative threshold — not merged,False,
SPL Engenharia,P2 ENGENHARIA,88.9,below conservative threshold — not merged,False,
ST Consultores,ENTI CONSULTORES,86.7,below conservative threshold — not merged,False,
Selpe Gente e Gestão,RM GENTE E GESTÃO,81.1,below conservative threshold — not merged,False,
Sistema FIERGS,SISTEMA FIEP,84.6,below conservative threshold — not merged,False,
SmartChoice International Limited,TECHOP INTERNATIONAL,80.0,below conservative threshold — not merged,False,
Sparkassen-Personalberatung GmbH,KAISER PERSONALBERATUNG,80.0,below conservative threshold — not merged,False,
Spread Tecnologia,OPEN TECNOLOGIA,81.2,below conservative threshold — not merged,False,
Talent Nova,TALENT NOW,85.7,below conservative threshold — not merged,False,
Target Recrutamento e Seleção,ANA RECRUTAMENTO E SELEÇÃO,87.3,below conservative threshold — not merged,False,
Tecnocomp Tecnologia e Serviços,GTCON TECNOLOGIA & SERVIÇOS,82.8,below conservative threshold — not merged,False,
The Talent Care,COCREATE TALENT,80.0,below conservative threshold — not merged,False,
Tiger Resourcing Group,KTEK RESOURCING,83.9,below conservative threshold — not merged,False,
Transportes Cavalinho,CARVALIMA TRANSPORTES,85.7,below conservative threshold — not merged,False,
Universidade CIMATEC,UNIVERSIDADE SENAI CIMATEC,87.0,below conservative threshold — not merged,False,
V17 Recruitment,CSV RECRUITMENT,86.7,below conservative threshold — not merged,False,
VBSO Advogados,BMJS ADVOGADOS,85.7,below conservative threshold — not merged,False,
Vinícola Jolimont,VITIVINÍCOLA JOLIMONT,89.5,below conservative threshold — not merged,False,
Vitoria - Recursos Humanos,CRITERIA RECURSOS HUMANOS,86.3,below conservative threshold — not merged,False,
WK Personalberatung GmbH,KAISER PERSONALBERATUNG,85.7,below conservative threshold — not merged,False,
Warren Investimentos,ARGENTUM INVESTIMENTOS,85.7,below conservative threshold — not merged,False,
Wazo International,INTERNATIONAL SOS,85.7,below conservative threshold — not merged,False,
delaware International,SETA INTERNATIONAL,80.0,below conservative threshold — not merged,False,
gente seguradora,CNP SEGURADORA,80.0,below conservative threshold — not merged,False,
ieTeam Consultores,IDEA CONSULTORES,88.2,below conservative threshold — not merged,False,
Árbore Engenharia,TURBOTECH ENGENHARIA,81.1,below conservative threshold — not merged,False,
