company_clean,connection_count,recruiter_count,hiring_mgr_count,data_leader_count,avg_priority_score,company_canonical,manual_market,manual_category,manual_notes
Melt Group,17,0,0,0,21.9,MELT,,,
QuintoAndar,10,0,0,0,26.3,QUINTOANDAR,,,
DIS AG,9,0,0,0,18.6,DIS,,,
Global Group,9,0,0,0,11.0,,,,
Robert Walters,7,0,0,0,22.7,ROBERT WALTERS,,,
Autônomo,7,0,0,0,11.1,AUTÔNOMO,,,
Nortal,6,0,0,0,17.2,NORTAL,,,
Shopee,6,0,0,0,18.2,SHOPEE,,,
Taylor Hopkinson | Powered by Brunel,5,0,0,0,22.8,TAYLOR HOPKINSON | POWERED BY BRUNEL,,,
EloGroup,5,0,0,0,28.0,ELOGROUP,,,
NUMEN,5,0,0,0,21.0,NUMEN,,,
Grupo MAG,5,0,0,0,12.0,GRUPO MAG,,,
DBC Company,5,0,0,0,18.0,DBC COMPANY,,,
Progressive Recruitment,5,0,0,0,20.6,PROGRESSIVE RECRUITMENT,,,
Lojas Renner S.A,5,0,0,0,23.0,LOJAS RENNER,,,
Wellhub,4,0,0,0,24.8,WELLHUB,,,
banco BV,4,0,0,0,25.0,BANCO,,,
Confidential,4,0,0,0,20.5,CONFIDENTIAL,,,
Hotmart,4,0,0,0,30.8,HOTMART,,,
Neon,4,0,0,0,21.8,NEON,,,
Compass UOL,4,0,0,0,22.2,COMPASS UOL,,,
Brunel,4,0,0,0,23.2,BRUNEL,,,
The HEINEKEN Company,4,0,0,0,22.8,THE HEINEKEN COMPANY,,,
Improving,4,0,0,0,21.5,IMPROVING,,,
Kienbaum,4,0,0,0,18.2,KIENBAUM,,,
Selbstständig,4,0,0,0,10.0,SELBSTSTÄNDIG,,,
Capco,4,0,0,0,26.8,CAPCO,,,
Cadastra,4,0,0,0,24.2,CADASTRA,,,
Clan,4,0,0,0,27.0,CLAN,,,
change,3,0,0,0,28.3,CHANGE,,,
Visagio,3,0,0,0,18.0,VISAGIO,,,
artevie group,3,0,0,0,19.3,ARTEVIE,,,
Xepelin,3,0,0,0,24.3,XEPELIN,,,
Vetta,3,0,0,0,23.0,VETTA,,,
Quartile,3,0,0,0,21.7,QUARTILE,,,
SOUTH SYSTEM,3,0,0,0,20.0,SOUTH SYSTEM,,,
Ratbacher GmbH,3,0,0,0,17.3,RATBACHER,,,
Staan,3,0,0,0,21.0,STAAN,,,
Straumann Group,3,0,0,0,29.3,STRAUMANN,,,
Tergos,3,0,0,0,20.7,TERGOS,,,
Talent Match,3,0,0,0,21.3,TALENT MATCH,,,
Hitachi Energy,3,0,0,0,18.7,HITACHI ENERGY,,,
Intellias,3,0,0,0,24.0,INTELLIAS,,,
K&K Talents,3,0,0,0,18.3,K&K TALENTS,,,
Kenvue,3,0,0,0,20.3,KENVUE,,,
Landeshauptstadt München,3,0,0,0,31.0,LANDESHAUPTSTADT MÜNCHEN,,,
Power Tuning,3,0,0,0,23.3,POWER TUNING,,,
PetroReconcavo,3,0,0,0,11.3,PETRORECONCAVO,,,
Natura,3,0,0,0,23.7,NATURA,,,
Sem Parar Corpay,3,0,0,0,20.0,SEM PARAR CORPAY,,,
Stadtwerke München GmbH,3,0,0,0,31.0,STADTWERKE MÜNCHEN,,,
AXS Logistiek,3,0,0,0,21.7,AXS LOGISTIEK,,,
Self Employed,3,0,0,0,19.3,SELF EMPLOYED,,,
SAUTER,3,0,0,0,26.7,SAUTER,,,
FERCHAU,3,0,0,0,21.3,FERCHAU,,,
Equifax I BoaVista,3,0,0,0,20.3,EQUIFAX I BOAVISTA,,,
Gupy,3,0,0,0,11.7,GUPY,,,
Datum,3,0,0,0,16.0,DATUM,,,
Advance Auto Parts,3,0,0,0,27.3,ADVANCE AUTO PARTS,,,
Elevation Group,3,0,0,0,16.3,ELEVATION,,,
Diageo,3,0,0,0,15.3,DIAGEO,,,
GEP Worldwide,3,0,0,0,19.0,GEP WORLDWIDE,,,
Fami Capital,3,0,0,0,18.3,FAMI CAPITAL,,,
Caterpillar Inc,3,0,0,0,19.0,CATERPILLAR,,,
Celonis,3,0,0,0,27.3,CELONIS,,,
Bayer,3,0,0,0,29.3,BAYER,,,
Banco Bmg,3,0,0,0,27.3,BANCO BMG,,,
BASF Services Americas,3,0,0,0,21.0,BASF AMERICAS,,,
BEES,3,0,0,0,25.0,BEES,,,
Autônoma,3,0,0,0,16.3,AUTÔNOMA,,,
Arco Educação,3,0,0,0,31.7,ARCO EDUCAÇÃO,,,
AltoQi,3,0,0,0,27.7,ALTOQI,,,
"ANP - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",3,0,0,0,8.0,"ANP - AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS",,,
Ipiranga,2,0,0,0,17.5,IPIRANGA,,,
Ana Gaming,2,0,0,0,21.0,ANA GAMING,,,
Beinex,2,0,0,0,32.0,BEINEX,,,
Amoria Bond,2,0,0,0,25.0,AMORIA BOND,,,
Independent Consultant,2,0,0,0,24.5,INDEPENDENT CONSULTANT,,,
FICO,2,0,0,0,13.5,FICO,,,
HRA Solutions,2,0,0,0,8.0,HRA,,,
CESAR,2,0,0,0,22.5,CESAR,,,
FALKENHERZ Group,2,0,0,0,20.0,FALKENHERZ,,,
Aegea Saneamento,2,0,0,0,15.5,AEGEA SANEAMENTO,,,
FALKEN Group Personalberatung GmbH,2,0,0,0,16.0,FALKEN PERSONALBERATUNG,,,
F1RST Tecnologia,2,0,0,0,22.0,F1RST TECNOLOGIA,,,
