rank,company_canonical,unresolved_contact_count,cumulative_contacts,cumulative_pct_of_unresolved,recruiter_count,talent_acquisition,hiring_managers,data_leaders,avg_priority_score,suggested_bucket,suggested_confidence,suggested_reason
1,QUINTOANDAR,10,10,0.4,0,0,0,0,26.3,,0.0,no usable signal yet — candidate for manual company mapping override
2,,9,19,0.8,0,0,0,0,11.0,,0.0,no usable signal yet — candidate for manual company mapping override
3,DIS,9,28,1.2,0,0,0,0,17.7,,0.0,no usable signal yet — candidate for manual company mapping override
4,SHOPEE,6,34,1.4,0,0,0,0,17.5,,0.0,no usable signal yet — candidate for manual company mapping override
5,GRUPO MAG,5,39,1.6,0,0,0,0,12.0,,0.0,no usable signal yet — candidate for manual company mapping override
6,ELOGROUP,5,44,1.8,0,0,0,0,28.0,,0.0,no usable signal yet — candidate for manual company mapping override
7,NUMEN,5,49,2.0,0,0,0,0,21.0,,0.0,no usable signal yet — candidate for manual company mapping override
8,PROGRESSIVE RECRUITMENT,5,54,2.3,0,0,0,0,20.6,,0.0,no usable signal yet — candidate for manual company mapping override
9,TAYLOR HOPKINSON | POWERED BY BRUNEL,5,59,2.5,0,0,0,0,22.8,,0.0,no usable signal yet — candidate for manual company mapping override
10,KIENBAUM,4,63,2.6,0,0,0,0,18.2,,0.0,no usable signal yet — candidate for manual company mapping override
11,COMPASS UOL,4,67,2.8,0,0,0,0,22.2,,0.0,no usable signal yet — candidate for manual company mapping override
12,BRUNEL,4,71,3.0,0,0,0,0,23.2,,0.0,no usable signal yet — candidate for manual company mapping override
13,HOTMART,4,75,3.1,0,0,0,0,30.8,,0.0,no usable signal yet — candidate for manual company mapping override
14,CADASTRA,4,79,3.3,0,0,0,0,24.2,,0.0,no usable signal yet — candidate for manual company mapping override
15,NATURA,4,83,3.5,0,0,0,0,20.5,,0.0,no usable signal yet — candidate for manual company mapping override
16,NEON,4,87,3.6,0,0,0,0,21.8,,0.0,no usable signal yet — candidate for manual company mapping override
17,THE HEINEKEN COMPANY,4,91,3.8,0,0,0,0,22.8,,0.0,no usable signal yet — candidate for manual company mapping override
18,WELLHUB,4,95,4.0,0,0,0,0,24.8,,0.0,no usable signal yet — candidate for manual company mapping override
19,BANCO,4,99,4.1,0,0,0,0,25.0,,0.0,no usable signal yet — candidate for manual company mapping override
20,K&K TALENTS,3,102,4.3,0,0,0,0,17.0,,0.0,no usable signal yet — candidate for manual company mapping override
21,HITACHI ENERGY,3,105,4.4,0,0,0,0,18.7,,0.0,no usable signal yet — candidate for manual company mapping override
22,MATERA,3,108,4.5,0,0,0,0,30.7,,0.0,no usable signal yet — candidate for manual company mapping override
23,KENVUE,3,111,4.6,0,0,0,0,19.3,,0.0,no usable signal yet — candidate for manual company mapping override
24,ADVANCE AUTO PARTS,3,114,4.8,0,0,0,0,27.3,,0.0,no usable signal yet — candidate for manual company mapping override
25,POWER TUNING,3,117,4.9,0,0,0,0,23.3,,0.0,no usable signal yet — candidate for manual company mapping override
