company_clean,connection_count,recruiter_count,hiring_mgr_count,data_leader_count,avg_priority_score,company_canonical,manual_market,manual_category,manual_notes
QuintoAndar,10,0,0,0,26.3,QUINTOANDAR,,,
Global Group,9,0,0,0,11.0,,,,
DIS AG,9,0,0,0,17.7,DIS,,,
Shopee,6,0,0,0,17.5,SHOPEE,,,
Grupo MAG,5,0,0,0,12.0,GRUPO MAG,,,
EloGroup,5,0,0,0,28.0,ELOGROUP,,,
NUMEN,5,0,0,0,21.0,NUMEN,,,
Progressive Recruitment,5,0,0,0,20.6,PROGRESSIVE RECRUITMENT,,,
Taylor Hopkinson | Powered by Brunel,5,0,0,0,22.8,TAYLOR HOPKINSON | POWERED BY BRUNEL,,,
Kienbaum,4,0,0,0,18.2,KIENBAUM,,,
Compass UOL,4,0,0,0,22.2,COMPASS UOL,,,
Brunel,4,0,0,0,23.2,BRUNEL,,,
Hotmart,4,0,0,0,30.8,HOTMART,,,
Cadastra,4,0,0,0,24.2,CADASTRA,,,
Natura,4,0,0,0,20.5,NATURA,,,
Neon,4,0,0,0,21.8,NEON,,,
The HEINEKEN Company,4,0,0,0,22.8,THE HEINEKEN COMPANY,,,
Wellhub,4,0,0,0,24.8,WELLHUB,,,
banco BV,4,0,0,0,25.0,BANCO,,,
K&K Talents,3,0,0,0,17.0,K&K TALENTS,,,
Hitachi Energy,3,0,0,0,18.7,HITACHI ENERGY,,,
Matera,3,0,0,0,30.7,MATERA,,,
Kenvue,3,0,0,0,19.3,KENVUE,,,
Advance Auto Parts,3,0,0,0,27.3,ADVANCE AUTO PARTS,,,
Power Tuning,3,0,0,0,23.3,POWER TUNING,,,
Intellias,3,0,0,0,24.0,INTELLIAS,,,
FERCHAU,3,0,0,0,21.3,FERCHAU,,,
Autônoma,3,0,0,0,16.3,AUTÔNOMA,,,
AltoQi,3,0,0,0,27.7,ALTOQI,,,
Benner,3,0,0,0,19.0,BENNER,,,
Gupy,3,0,0,0,10.3,GUPY,,,
"ANP - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",3,0,0,0,8.0,"ANP - AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS",,,
AXS Logistiek,3,0,0,0,21.7,AXS LOGISTIEK,,,
Philip Morris International,3,0,0,0,26.3,PHILIP MORRIS INTERNATIONAL,,,
Elevation Group,3,0,0,0,16.3,ELEVATION,,,
Quartile,3,0,0,0,21.7,QUARTILE,,,
Falconi,3,0,0,0,24.0,FALCONI,,,
Ratbacher GmbH,3,0,0,0,17.3,RATBACHER,,,
Revelo,3,0,0,0,25.7,REVELO,,,
SAUTER,3,0,0,0,25.7,SAUTER,,,
SOUTH SYSTEM,3,0,0,0,20.0,SOUTH SYSTEM,,,
Selbstständig,3,0,0,0,9.3,SELBSTSTÄNDIG,,,
Sem Parar Corpay,3,0,0,0,20.0,SEM PARAR CORPAY,,,
Caterpillar Inc,3,0,0,0,19.0,CATERPILLAR,,,
Staan,3,0,0,0,21.0,STAAN,,,
Stadtwerke München GmbH,3,0,0,0,31.0,STADTWERKE MÜNCHEN,,,
Straumann Group,3,0,0,0,29.3,STRAUMANN,,,
Talent Match,3,0,0,0,17.3,TALENT MATCH,,,
BEES,3,0,0,0,25.0,BEES,,,
Tergos,3,0,0,0,20.7,TERGOS,,,
Landeshauptstadt München,3,0,0,0,31.0,LANDESHAUPTSTADT MÜNCHEN,,,
Visagio,3,0,0,0,18.0,VISAGIO,,,
Aliare,3,0,0,0,22.3,ALIARE,,,
Xepelin,3,0,0,0,21.3,XEPELIN,,,
artevie group,3,0,0,0,19.3,ARTEVIE,,,
Banco Bmg,3,0,0,0,27.3,BANCO BMG,,,
change,3,0,0,0,28.3,CHANGE,,,
Imperial Brands PLC,2,0,0,0,19.5,IMPERIAL BRANDS,,,
HRA Solutions,2,0,0,0,8.0,HRA,,,
Amoria Bond,2,0,0,0,25.0,AMORIA BOND,,,
John Deere,2,0,0,0,17.5,JOHN DEERE,,,
Ana Gaming,2,0,0,0,21.0,ANA GAMING,,,
Freelancer,2,0,0,0,15.5,FREELANCER,,,
Kanastra,2,0,0,0,27.5,KANASTRA,,,
HSystem,2,0,0,0,24.5,HSYSTEM,,,
El Corte Inglés,2,0,0,0,10.0,EL CORTE INGLÉS,,,
ClickHouse,2,0,0,0,12.0,CLICKHOUSE,,,
Horatio,2,0,0,0,20.0,HORATIO,,,
Horizontal Talent,2,0,0,0,20.0,HORIZONTAL TALENT,,,
