company_clean,connection_count,top_persona,top_area,avg_priority_score,suggested_market,suggested_category,manual_market,manual_category,reason
Hays,74,Other,Other,23.6,,,,,
SENAI CIMATEC,53,Other,Other,14.3,,,,,
Grupo Boticário,48,Other,Other,23.3,,,,,
GE Vernova,43,Other,Other,15.5,,,,,
Larco Petróleo,40,Other,Other,13.5,,,,,
CI&T,33,Other,Data Engineering,24.6,,,,,
GE Renewable Energy,32,Other,Other,15.0,,,,,
Michael Page,31,Other,Other,26.3,,,,,
LM Soluções de Mobilidade,28,Other,Other,14.2,,,,,
IBM,28,Other,Other,25.5,,,,,
AB InBev,25,Data Engineer,Data Engineering,27.5,,,,,
Ford Motor Company,24,Other,Other,13.0,,,,,
GFT Technologies,22,Other,Management,38.6,,,,,
Serasa Experian,20,Other,Management,26.8,,,,,
Globo,19,Other,Management,20.3,,,,,
Artefact,19,Data Engineer,Data Engineering,29.7,,,,,
SAP,19,Other,Management,45.8,,,,,
Amazon Web Services (AWS),19,Other,Other,46.9,,,,,
Freelance,18,Recruiter,Recruiting,28.6,LATAM_USD,,,,
Mercado Livre,17,Other,Other,24.8,,,,,
LM Mobilidade,16,Other,Other,14.7,,,,,
PRINCIPIA,15,Other,Other,12.1,,,,,
TELUS Digital,15,Other,Recruiting,31.3,,,,,
Qubika,15,Data Engineer,Data Engineering,35.0,,,,,
Autônomo,14,Other,Other,22.1,,,,,
Randstad,14,Other,Management,28.4,,,,,
Sicredi,14,Other,Other,22.9,,,,,
Inter,14,Data Engineer,Analytics,26.5,,,,,
Goldwind,14,Other,Other,15.6,,,,,
Blip,13,Other,Analytics,24.2,,,,,
Melt Group,13,Consultant,Consulting,19.9,,,,,
QuintoAndar,13,Other,Management,25.2,,,,,
Factored,13,Data Engineer,Data Engineering,30.6,,,,,
Stefanini Group,12,Other,Management,30.9,,,,,
PetroReconcavo,12,Other,Other,14.6,,,,,
PicPay,12,Other,Analytics,29.1,,,,,
Compass UOL,11,Data Engineer,Data Engineering,26.8,,,,,
Avanade,11,Data Engineer,Recruiting,34.0,,,,,
Continental,11,Other,Other,9.4,,,,,
DBC Company,10,Other,HR,21.7,,,,,
DIS AG,10,Other,Consulting,21.7,,,,,
EloGroup,10,Data Engineer,Data Engineering,26.9,,,,,
Adecco,10,Consultant,Consulting,26.8,,,,,
Datum,10,Other,Other,24.4,,,,,
Leidos,10,Talent Acquisition,Recruiting,39.0,LATAM_USD,,,,
K2 Partnering Solutions,10,Recruiter,Recruiting,46.2,LATAM_USD,,,,
Shopee,10,Other,HR,21.5,,,,,
BRQ Digital Solutions,10,Other,Management,34.6,,,,,
Lojas Renner S.A,10,Other,Management,27.7,,,,,
Global Group,9,Other,Other,13.3,,,,,
Aliare,9,Other,Other,26.9,,,,,
Capitani Group,9,Other,Other,22.4,,,,,
Asaas,9,Other,Other,24.7,,,,,
Nortal,9,Other,Other,24.1,,,,,
EPAM Systems,9,Talent Acquisition,Recruiting,42.9,LATAM_USD,,,,
Cadastra,9,Data Engineer,Data Engineering,28.7,,,,,
Vale,9,Other,Other,32.1,,,,,
Babbel,9,Hiring Manager,Management,34.0,,,,,
Zallpy Digital,9,HR,HR,28.4,,,,,
Randstad Enterprise,9,Recruiter,Management,37.8,LATAM_USD,,,,
Korn Ferry,9,Recruiter,Recruiting,36.9,LATAM_USD,,,,
Self-employed,9,Other,Other,23.0,,,,,
Neoenergia,8,Other,Other,15.6,,,,,
Arco Educação,8,Other,Recruiting,33.2,,,,,
PageGroup,8,Other,Recruiting,32.4,,,,,
