company_clean,opportunity_market_v5,opportunity_confidence,company_normalized
#ONO (Open to New Opportunities),NEEDS_COMPANY_MAPPING,0.4,#ono (open to new opportunities)
&V Recruitment,NEEDS_COMPANY_MAPPING,0.4,&v recruitment
(GSH) Grupo Soluciones Horizonte,NEEDS_COMPANY_MAPPING,0.4,(gsh) grupo soluciones horizonte
++hellohello,NEEDS_COMPANY_MAPPING,0.4,++hellohello
+A Educação,NEEDS_COMPANY_MAPPING,0.4,+a educação
+Talent,LATAM_USD_CONFIRMED,0.85,+talent
-,LOW_VALUE_UNRESOLVED,0.1,
10Pearls,GLOBAL_OPPORTUNITY,0.55,10pearls
11x,LOW_VALUE_UNRESOLVED,0.1,11x
1950Labs,GLOBAL_OPPORTUNITY,0.55,1950labs
1GLOBAL,GLOBAL_OPPORTUNITY,0.55,1global
1st solution consulting gmbh,GLOBAL_CONSULTING,0.9,1st solution
200DEV,NEEDS_COMPANY_MAPPING,0.4,200dev
2C Capital | Search Fund,GLOBAL_OPPORTUNITY,0.55,2c capital | search fund
2CLOUD,BRAZIL_CONFIRMED,0.85,2cloud
2U,GLOBAL_OPPORTUNITY,0.55,2u
2a Vara civil do Foro da Comarca de Canela,NEEDS_COMPANY_MAPPING,0.4,2a vara civil do foro da comarca de canela
2hearts,NEEDS_COMPANY_MAPPING,0.4,2hearts
2innovate,GLOBAL_OPPORTUNITY,0.55,2innovate
300 Software,GLOBAL_OPPORTUNITY,0.55,300 software
33 Talent,GLOBAL_OPPORTUNITY,0.55,33 talent
3AM IT Services,GLOBAL_CONSULTING,0.9,3am it
3F Restaurante,BRAZIL_CONFIRMED,0.85,3f restaurante
3M,GLOBAL_OPPORTUNITY,0.55,3m
3P Energia,BRAZIL_CONFIRMED,0.85,3p energia
3Pillar,LATAM_USD_CONFIRMED,0.85,3pillar
3S Tecnologia,LANGUAGE_PORTUGUESE_MARKET,0.65,3s tecnologia
4 Elos Distribuidora LTDA,LANGUAGE_PORTUGUESE_MARKET,0.65,4 elos distribuidora
4Data Driven,GLOBAL_TECH,0.75,4data driven
4Linux,LANGUAGE_PORTUGUESE_MARKET,0.65,4linux
4MDG Plataforma de Gestão de Cadastros,LANGUAGE_PORTUGUESE_MARKET,0.65,4mdg plataforma de gestão de cadastros
4SolutionGroup,GLOBAL_OPPORTUNITY,0.55,4solutiongroup
4i Engenharia,LANGUAGE_PORTUGUESE_MARKET,0.65,4i engenharia
4it Recruitment,GLOBAL_STAFFING,0.9,4it recruitment
4zOOm - Business Solution,NEEDS_COMPANY_MAPPING,0.4,4zoom - business solution
500 Designs,NEEDS_COMPANY_MAPPING,0.4,500 designs
50Hertz Transmission GmbH,GLOBAL_OPPORTUNITY,0.55,50hertz transmission
7-Eleven,NEEDS_COMPANY_MAPPING,0.4,7-eleven
7COMm - People and tech to transform,GLOBAL_OPPORTUNITY,0.55,7comm - people and to transform
7IM,LOW_VALUE_UNRESOLVED,0.1,7im
80 20 Marketing,LANGUAGE_PORTUGUESE_MARKET,0.65,80 20 marketing
8R,GLOBAL_OPPORTUNITY,0.55,8r
99,BRAZIL_CONFIRMED,0.9,99
99Freelas,LANGUAGE_PORTUGUESE_MARKET,0.65,99freelas
<codara />,GLOBAL_OPPORTUNITY,0.55,<codara />
@Hyatt Dreams Madeira Resort Spa & Marina,NEEDS_COMPANY_MAPPING,0.4,@hyatt dreams madeira resort & marina
A GERADORA,LANGUAGE_PORTUGUESE_MARKET,0.65,a geradora
A Humtech agora é Humgroup,GLOBAL_TECH,0.75,a humtech agora é humgroup
A Predial Imóveis,LANGUAGE_PORTUGUESE_MARKET,0.65,a predial imóveis
A-Players,NEEDS_COMPANY_MAPPING,0.4,a-players
A.C.Camargo Cancer Center,NEEDS_COMPANY_MAPPING,0.4,a.c.camargo cancer center
A.P. Moller - Maersk,NEEDS_COMPANY_MAPPING,0.4,a.p. moller - maersk
A3Data,BRAZIL_CONFIRMED,0.85,a3data
A4PM,LANGUAGE_PORTUGUESE_MARKET,0.65,a4pm
AA Corporation,GLOBAL_OPPORTUNITY,0.55,aa
AA Euro Group,SPAIN_EU_CONFIRMED,0.85,aa euro
AB InBev,BRAZIL_CONFIRMED,0.9,ambev
AB InBev Efes,GLOBAL_TECH,0.85,ab inbev efes
AB Mauri Uruguay (Fleischmann - Terry),NEEDS_COMPANY_MAPPING,0.4,ab mauri uruguay (fleischmann - terry)
ABA - WORK in AUSTRIA (Austrian Business Agency),SPAIN_EU_CONFIRMED,0.85,aba - work in austria (austrian business agency)
ABANCA Portugal,SPAIN_EU_CONFIRMED,0.85,abanca portugal
ABB,LOW_VALUE_UNRESOLVED,0.1,abb
ABGR Associação Brasileira de Gerência de Riscos,BRAZIL_CONFIRMED,0.85,abgr associação brasileira de gerência de riscos
ABN Paletes,LANGUAGE_PORTUGUESE_MARKET,0.65,abn paletes
