company_clean,connection_count,recruiter_count,talent_count,hiring_manager_count,data_leader_count,avg_priority_score,suggested_market,suggested_confidence,suggested_reason,manual_market,manual_category,manual_notes
K2 Partnering Solutions,10,8,1,0,1,45.8,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'solutions',,,
XML International,1,1,0,0,0,90.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Hays,73,5,1,0,5,23.7,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
EPAM Systems,12,4,4,0,0,45.8,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Infoplus Technologies UK Limited,2,1,1,0,0,79.0,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
ConfigUSA,1,1,0,0,0,84.0,US_CANADA_NEARSHORE,HIGH,company name contains geographic keyword: 'usa',,,
Onward Technologies Limited,1,0,1,0,0,85.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
Committed Staff.AI,1,1,0,0,0,82.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'ai',,,
HERE Technologies,1,0,1,0,0,82.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
Practia Uruguay,2,1,1,0,0,75.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Compasso UOL,1,0,1,0,0,81.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Forte Group,1,1,0,0,0,80.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
S&you España,1,0,1,0,0,81.0,SPAIN_EU,HIGH,company name contains geographic keyword: 'españa',,,
SoftPath Technologies LLC,1,0,1,0,0,81.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
SunnyData,3,1,1,1,0,65.7,GLOBAL_TECH,LOW,company name contains tech keyword: 'data',,,
Jconnect Infotech Inc,1,1,0,0,0,79.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
SII Group Chile,2,0,2,0,0,74.5,LATAM_USD,HIGH,company name contains geographic keyword: 'chile',,,
Elbit Systems Israel,1,0,1,0,0,79.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Leidos,10,3,5,0,0,39.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
HN Services Portugal,2,0,2,0,0,73.0,EUROPE,HIGH,company name contains geographic keyword: 'portugal',,,
Adentis Portugal,1,1,0,0,0,77.0,EUROPE,HIGH,company name contains geographic keyword: 'portugal',,,
Rawson BPO,1,0,1,0,0,78.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Re:Build Manufacturing,1,1,0,0,0,77.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
"Spyglass Partners, LLC",1,1,0,0,0,77.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Coforge,9,0,7,0,0,45.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
CINTE Colombia,1,0,1,0,0,77.0,LATAM_USD,HIGH,company name contains geographic keyword: 'colombia',,,
KPMG España,1,0,1,0,0,77.0,SPAIN_EU,HIGH,company name contains geographic keyword: 'españa',,,
Ensitech,4,4,0,0,0,57.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
METRICA Chile,1,1,0,0,0,75.0,LATAM_USD,HIGH,company name contains geographic keyword: 'chile',,,
Omnicom Global Solutions Colombia,1,0,1,0,0,76.0,LATAM_USD,HIGH,company name contains geographic keyword: 'colombia',,,
TELUS Health powered by eap Latina,1,1,0,0,0,75.0,LATAM_USD,HIGH,company name contains geographic keyword: 'latin',,,
Praxis USA,2,0,2,0,0,70.5,US_CANADA_NEARSHORE,HIGH,company name contains geographic keyword: 'usa',,,
Michael Page,44,6,0,0,2,27.4,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
ITTConnect,1,0,1,0,0,75.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
TELUS Digital,20,5,3,0,0,30.6,GLOBAL_TECH,LOW,company name contains tech keyword: 'digital',,,
Decision,8,6,0,0,0,41.9,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Nava | Tech for Business,4,3,0,0,1,56.8,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
Truelogic Software,6,1,4,0,0,52.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'software',,,
AROBS Software,1,1,0,0,0,73.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'software',,,
Blend IT Consultoria,1,1,0,0,0,73.0,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'consultoria',,,
Fiontec Technologies GmbH,1,1,0,0,0,73.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
Gerbera Technologies,1,1,0,0,0,73.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
Nacar Design,1,0,1,0,0,74.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Timestamp España,1,0,1,0,0,74.0,SPAIN_EU,HIGH,company name contains geographic keyword: 'españa',,,
Freelance,18,6,2,0,0,28.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Awsales,1,0,0,0,1,74.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Gensler Latinoamérica,1,0,1,0,0,73.0,LATAM_USD,HIGH,company name contains geographic keyword: 'latin',,,
Kaizen Softworks,1,0,1,0,0,73.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'ai',,,
Massive Rocket | Global Braze & Snowflake Agency,1,0,0,0,1,74.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
RAS España,1,0,0,0,1,74.0,SPAIN_EU,HIGH,company name contains geographic keyword: 'españa',,,
International Development Resources LTD,3,3,0,0,0,59.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'development',,,
Andersen Lab,5,5,0,0,0,46.4,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
APRIORI - business solutions AG,1,1,0,0,0,71.0,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Circet USA,1,1,0,0,0,71.0,US_CANADA_NEARSHORE,HIGH,company name contains geographic keyword: 'usa',,,
ManpowerGroup Argentina,1,0,0,0,1,73.0,LATAM_USD,HIGH,company name contains geographic keyword: 'argentina',,,
Matera,1,1,0,0,0,71.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Securitas Security Services Hungary,1,1,0,0,0,71.0,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'services',,,
Syntax México,1,0,1,0,0,72.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
GFT Technologies,25,0,5,0,2,38.9,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
NAVA - Technology for Business,4,2,1,0,1,54.8,GLOBAL_TECH,LOW,company name contains tech keyword: 'technology',,,
Atmosfera IT - Inteligência Tech por Pri Damasceno,1,0,1,0,0,71.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
Futuremedia,1,0,1,0,0,71.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Icertis,1,0,1,0,0,71.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
MSol Technologies Pvt. Ltd,1,0,1,0,0,71.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
proSapient,1,0,1,0,0,71.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Syren Cloud Inc,4,0,4,0,0,55.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'cloud',,,
rpc España,3,1,1,0,0,64.0,SPAIN_EU,HIGH,company name contains geographic keyword: 'españa',,,
US Tech Solutions,4,3,0,0,0,56.5,GLOBAL_CONSULTING,LOW,mixed signals: tech 'tech' + consulting 'solutions',,,
Alvea Soluciones Tecnológicas,1,1,0,0,0,69.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Grupo Administrativo Mexicano,1,0,1,0,0,70.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Prowork Group Colombia,1,0,1,0,0,70.0,LATAM_USD,HIGH,company name contains geographic keyword: 'colombia',,,
Zukk - Geoespacial,1,1,0,0,0,69.0,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
Arroyo is becoming INSPYR Global Solutions,2,0,1,0,1,65.0,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'solutions',,,
NerdBench Technical Recruiting,1,1,0,0,0,68.0,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'bench',,,
Atlas Technica,2,1,1,0,0,62.5,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
SAP,19,0,0,1,4,45.9,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Randstad España,3,1,1,0,0,62.0,SPAIN_EU,HIGH,company name contains geographic keyword: 'españa',,,
Concentrix,4,1,3,0,0,51.5,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Between Technology,1,0,1,0,0,68.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'technology',,,
"CSG | Corporate Solutions General, Inc",1,1,0,0,0,67.0,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'solutions',,,
Datacop,1,0,0,0,1,69.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'data',,,
Egotechworld,1,0,0,1,0,65.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
Rajapack España,1,0,1,0,0,68.0,SPAIN_EU,HIGH,company name contains geographic keyword: 'españa',,,
Talent&Tech,1,1,0,0,0,67.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
Unitech Corp,1,0,1,0,0,68.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
WE ARE META,1,1,0,0,0,67.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
WeJam Digital,1,0,0,0,1,69.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'digital',,,
mazzatech,4,3,0,0,0,54.2,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
StaffingAbroad,2,0,1,0,1,63.5,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'staffing',,,
TechTree,3,3,0,0,0,54.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
HUNT IT - Recrutamento para Tecnologia e Digital,2,2,0,0,0,60.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'digital',,,
Jet2 Travel Technologies Pvt Ltd,2,0,2,0,0,62.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
ABANCA Portugal,1,0,0,0,1,68.0,EUROPE,HIGH,company name contains geographic keyword: 'portugal',,,
HR-Recruiting Services GmbH,1,1,0,0,0,66.0,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'services',,,
Software Mind Americas,1,1,0,0,0,66.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'software',,,
Würth Argentina,1,0,1,0,0,67.0,LATAM_USD,HIGH,company name contains geographic keyword: 'argentina',,,
YozmaTech-Scaling the startup nation,1,1,0,0,0,66.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
BeeFlow,1,0,0,0,1,67.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
CogniSAP,1,0,0,0,1,67.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
CresitaTech IT Solutions,1,1,0,0,0,65.0,GLOBAL_CONSULTING,LOW,mixed signals: tech 'tech' + consulting 'solutions',,,
RecLatam,1,1,0,0,0,65.0,LATAM_USD,HIGH,company name contains geographic keyword: 'latam',,,
Stealth Mode,1,0,0,0,1,67.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Feel Tech RH - Recrutamento ágil e assertivo para TI,2,2,0,0,0,58.5,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
CodeRoad Inc,4,3,1,0,0,46.5,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Laiba technology,2,2,0,0,0,58.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'technology',,,
Mozantech,2,0,2,0,0,60.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
AL Consultoria Tech | Recrutamento Estratégico Tech,1,0,1,0,0,65.0,GLOBAL_CONSULTING,LOW,mixed signals: tech 'tech' + consulting 'consultoria',,,
Claranet Portugal,1,0,1,0,0,65.0,EUROPE,HIGH,company name contains geographic keyword: 'portugal',,,
LUK HR,1,0,0,0,1,66.0,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
Recruit Bridge,1,0,1,0,0,65.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
SpinTheory,1,0,0,0,1,66.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
PenFed Credit Union,2,1,1,0,0,58.5,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Syntax,2,0,2,0,0,59.5,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
juucy,3,3,0,0,0,51.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Kantic,2,2,0,0,0,57.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Teamit Inc,2,2,0,0,0,57.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
AS White Global,1,0,1,0,0,64.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Cloud 99 INC,1,1,0,0,0,63.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'cloud',,,
Deutsche Rentenversicherung Hessen,1,1,0,0,0,63.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
IT People Connect,1,1,0,0,0,63.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Joblogic Service Management Software,1,1,0,0,0,63.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'software',,,
Logicalis Portugal,1,0,1,0,0,64.0,EUROPE,HIGH,company name contains geographic keyword: 'portugal',,,
Ore Energy,1,1,0,0,0,63.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Sapiro Legal Connections,1,1,0,0,0,63.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
TActix,1,1,0,0,0,63.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Timber and Building Supplies Holland N.V,1,1,0,0,0,63.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
HelloFresh,6,1,3,0,1,42.8,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
E-Solutions,4,3,1,0,0,45.0,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'solutions',,,
TestCrew | Quality Engineering & Software Testing,2,2,0,0,0,56.5,GLOBAL_TECH,LOW,company name contains tech keyword: 'software',,,
FullStack,3,3,0,0,0,50.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Tech First,3,2,1,0,0,50.7,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
Netcracker Technology,2,0,2,0,0,58.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'technology',,,
Multiplica Talent,5,0,4,0,0,47.2,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
ALFA Consultoria - SAP Gold Partner,1,0,0,0,1,64.0,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'consultoria',,,
ALIS Software LLC,1,1,0,0,0,62.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'software',,,
COINOV,1,0,0,0,1,64.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Cloud Bridge Solutions,1,0,1,0,0,63.0,GLOBAL_CONSULTING,LOW,mixed signals: tech 'cloud' + consulting 'solutions',,,
Code10,1,0,0,0,1,64.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Distribusion Technologies,1,1,0,0,0,62.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
Ekcel Technologies Inc,1,1,0,0,0,62.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
Foodify.com,1,0,0,0,1,64.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Gravitas Recruitment Group (UK) Ltd,1,0,0,0,1,64.0,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
TechOp Solutions International,1,1,0,0,0,62.0,GLOBAL_CONSULTING,LOW,mixed signals: tech 'tech' + consulting 'solutions',,,
Torkuatos Mexican Food,1,0,0,0,0,68.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
medialabTech,1,0,0,0,0,68.0,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
Blend,3,2,1,0,0,50.3,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Veeam Software,2,1,1,0,0,56.5,GLOBAL_TECH,LOW,company name contains tech keyword: 'software',,,
Mismo,2,2,0,0,0,55.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Avanade,13,3,1,1,0,33.5,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Randstad Enterprise,9,4,0,0,1,37.3,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
