company_clean,company_canonical,total_contacts,unresolved_count,resolved_support,dominant_bucket,dominant_share,decision,confidence_assigned
freelance,FREELANCE,18,10,8,GLOBAL_OPPORTUNITY,0.875,propagated,0.8
NTConsult,NTCONSULT,15,8,7,GLOBAL_OPPORTUNITY,0.714,propagated,0.72
Avanade,AVANADE,14,7,7,GLOBAL_OPPORTUNITY,0.857,propagated,0.8
Factored,FACTORED,14,11,3,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
EPAM Systems,EPAM SYSTEMS,12,4,8,GLOBAL_OPPORTUNITY,1.0,propagated,0.8
Self-employed,SELF-EMPLOYED,12,7,5,GLOBAL_OPPORTUNITY,0.8,propagated,0.8
Profesional independiente,PROFESIONAL INDEPENDIENTE,11,8,3,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Coforge,COFORGE,10,3,7,GLOBAL_OPPORTUNITY,0.857,propagated,0.8
SThree,STHREE,9,7,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Babbel,BABBEL,8,4,4,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Decision,DECISION,8,2,6,GLOBAL_OPPORTUNITY,0.833,propagated,0.8
KWS Group,KWS,8,5,3,EUROPE_CONFIRMED,1.0,propagated,0.72
Marlabs Brasil,MARLABS,8,2,6,BRAZIL_CONFIRMED,1.0,propagated,0.8
Neoenergia,NEOENERGIA,8,2,6,BRAZIL_CONFIRMED,0.833,propagated,0.8
Nestlé,NESTLÉ,8,6,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Flink,FLINK,7,2,5,GLOBAL_OPPORTUNITY,1.0,propagated,0.8
Porto,PORTO,7,1,6,BRAZIL_CONFIRMED,0.833,propagated,0.8
Citi,CITI,6,4,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Dev.Pro,DEV.PRO,6,2,4,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
emagine,EMAGINE,6,3,3,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
ExxonMobil,EXXONMOBIL,6,4,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Hire With Near,HIRE WITH NEAR,6,2,4,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Inetum,INETUM,6,2,4,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Porsche Consulting,PORSCHE,6,1,5,GLOBAL_CONSULTING,1.0,propagated,0.8
Raízen,RAÍZEN,6,2,4,LANGUAGE_PORTUGUESE_MARKET,0.75,propagated,0.72
Strider,STRIDER,6,2,4,GLOBAL_OPPORTUNITY,0.75,propagated,0.72
DOJO - Smart Ways,DOJO - SMART WAYS,5,1,4,GLOBAL_OPPORTUNITY,0.75,propagated,0.72
Epsilon Solutions Ltd. SA de CV,EPSILON . DE CV,5,1,4,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
GetYourGuide,GETYOURGUIDE,5,2,3,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Infotree Global Solutions,INFOTREE,5,1,4,GLOBAL_OPPORTUNITY,0.75,propagated,0.72
Lean Tech,LEAN,5,1,4,GLOBAL_OPPORTUNITY,0.75,propagated,0.72
Leega,LEEGA,5,3,2,BRAZIL_CONFIRMED,1.0,propagated,0.72
Lenovo,LENOVO,5,1,4,LANGUAGE_PORTUGUESE_MARKET,0.75,propagated,0.72
Multiplica Talent,MULTIPLICA TALENT,5,1,4,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
PIXIE,PIXIE,5,2,3,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
São Martinho,SÃO MARTINHO,5,1,4,BRAZIL_CONFIRMED,1.0,propagated,0.72
Teleperformance,TELEPERFORMANCE,5,3,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Velozient,VELOZIENT,5,3,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Acolad group,ACOLAD,4,2,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
APPLICA CORP,APPLICA,4,1,3,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Avature,AVATURE,4,2,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Choco,CHOCO,4,2,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Cross Border Talents,CROSS BORDER TALENTS,4,1,3,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Tech First,FIRST,4,1,3,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Genesys,GENESYS,4,2,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Grupo Fleury,GRUPO FLEURY,4,2,2,LANGUAGE_PORTUGUESE_MARKET,1.0,propagated,0.72
IFIT Solutions,IFIT,4,2,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
juucy,JUUCY,4,1,3,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Mouts TI,MOUTS TI,4,1,3,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
OttoMate,OTTOMATE,4,1,3,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Rede Américas,REDE AMÉRICAS,4,2,2,BRAZIL_CONFIRMED,1.0,propagated,0.72
Rumo,RUMO,4,1,3,LANGUAGE_PORTUGUESE_MARKET,1.0,propagated,0.72
Sabesp,SABESP,4,1,3,BRAZIL_CONFIRMED,1.0,propagated,0.72
Smollan,SMOLLAN,4,2,2,LATAM_USD_CONFIRMED,1.0,propagated,0.72
Solutis Tecnologias,SOLUTIS TECNOLOGIAS,4,2,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Spin,SPIN,4,2,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Taller,TALLER,4,1,3,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Vibra,VIBRA,4,2,2,LANGUAGE_PORTUGUESE_MARKET,1.0,propagated,0.72
10Pearls,10PEARLS,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
1950Labs,1950LABS,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
1GLOBAL,1GLOBAL,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Actinver,ACTINVER,3,1,2,LATAM_USD_CONFIRMED,1.0,propagated,0.72
AlixPartners,ALIXPARTNERS,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Auren Energia,AUREN ENERGIA,3,1,2,BRAZIL_CONFIRMED,1.0,propagated,0.72
Braskem,BRASKEM,3,1,2,LANGUAGE_PORTUGUESE_MARKET,1.0,propagated,0.72
Capitole,CAPITOLE,3,1,2,GLOBAL_CONSULTING,1.0,propagated,0.72
Cashea,CASHEA,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Central IT - Tecnologia em Negócios,CENTRAL IT - TECNOLOGIA EM NEGÓCIOS,3,1,2,LANGUAGE_PORTUGUESE_MARKET,1.0,propagated,0.72
Cervecería Boliviana Nacional,CERVECERÍA BOLIVIANA NACIONAL,3,1,2,LANGUAGE_PORTUGUESE_MARKET,1.0,propagated,0.72
Clip,CLIP,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Cynet Systems,CYNET SYSTEMS,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Deep,DEEP,3,1,2,LANGUAGE_PORTUGUESE_MARKET,1.0,propagated,0.72
Dexian,DEXIAN,3,1,2,BRAZIL_CONFIRMED,1.0,propagated,0.72
Grupo Falabella,GRUPO FALABELLA,3,1,2,LATAM_USD_CONFIRMED,1.0,propagated,0.72
Grupo Sabin,GRUPO SABIN,3,1,2,LANGUAGE_PORTUGUESE_MARKET,1.0,propagated,0.72
HACK A BOSS,HACK A BOSS,3,1,2,LANGUAGE_PORTUGUESE_MARKET,1.0,propagated,0.72
Hospital Israelita Albert Einstein,HOSPITAL ISRAELITA ALBERT EINSTEIN,3,1,2,LANGUAGE_PORTUGUESE_MARKET,1.0,propagated,0.72
HRDisruptive,HRDISRUPTIVE,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
In All Media,IN ALL MEDIA,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
JEMS,JEMS,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Junto Seguros,JUNTO SEGUROS,3,1,2,LANGUAGE_PORTUGUESE_MARKET,1.0,propagated,0.72
meutudo,MEUTUDO,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Mindera,MINDERA,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
NEORIS,NEORIS,3,1,2,LATAM_USD_CONFIRMED,1.0,propagated,0.72
Nexocorp,NEXOCORP,3,1,2,LATAM_USD_CONFIRMED,1.0,propagated,0.72
NIR-YU,NIR-YU,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Orion Talent,ORION TALENT,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
ParallelStaff,PARALLELSTAFF,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
RandomTrees,RANDOMTREES,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Statista,STATISTA,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Talent Portus,TALENT PORTUS,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Talentedge Ltd,TALENTEDGE,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Workana,WORKANA,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
X-Team,X-TEAM,3,1,2,GLOBAL_OPPORTUNITY,1.0,propagated,0.72
Zappts,ZAPPTS,3,1,2,BRAZIL_CONFIRMED,1.0,propagated,0.72
Melt Group,MELT,18,17,1,LATAM_USD_CONFIRMED,1.0,skipped_insufficient_support,
DIS AG,DIS,10,9,1,GLOBAL_OPPORTUNITY,1.0,skipped_insufficient_support,
Robert Walters,ROBERT WALTERS,8,7,1,EUROPE_CONFIRMED,1.0,skipped_insufficient_support,
Grupo MAG,GRUPO MAG,6,5,1,BRAZIL_CONFIRMED,1.0,skipped_insufficient_support,
NUMEN,NUMEN,6,5,1,BRAZIL_CONFIRMED,1.0,skipped_insufficient_support,
Taylor Hopkinson | Powered by Brunel,TAYLOR HOPKINSON | POWERED BY BRUNEL,6,5,1,EUROPE_CONFIRMED,1.0,skipped_insufficient_support,
Clan,CLAN,5,4,1,GLOBAL_OPPORTUNITY,1.0,skipped_insufficient_support,
Confidential,CONFIDENTIAL,5,4,1,GLOBAL_OPPORTUNITY,1.0,skipped_insufficient_support,
Improving,IMPROVING,5,4,1,GLOBAL_OPPORTUNITY,1.0,skipped_insufficient_support,
Kienbaum,KIENBAUM,5,4,1,GLOBAL_OPPORTUNITY,1.0,skipped_insufficient_support,
Selbstständig,SELBSTSTÄNDIG,5,4,1,GLOBAL_OPPORTUNITY,1.0,skipped_insufficient_support,
Autônoma,AUTÔNOMA,4,3,1,LANGUAGE_PORTUGUESE_MARKET,1.0,skipped_insufficient_support,
BASF Services Americas,BASF AMERICAS,4,3,1,GLOBAL_OPPORTUNITY,1.0,skipped_insufficient_support,
BEES,BEES,4,3,1,GLOBAL_OPPORTUNITY,1.0,skipped_insufficient_support,
Diageo,DIAGEO,4,3,1,GLOBAL_OPPORTUNITY,1.0,skipped_insufficient_support,
FERCHAU,FERCHAU,4,3,1,GLOBAL_OPPORTUNITY,1.0,skipped_insufficient_support,
Hitachi Energy,HITACHI ENERGY,4,3,1,LATAM_USD_CONFIRMED,1.0,skipped_insufficient_support,
