company_name,company_follow_key,followed_on,days_since_followed,matched_connection_count,matched_recruiters,matched_talent_acquisition,matched_hiring_managers,matched_data_leaders,matched_top_contacts,matched_untapped_contacts,matched_lead_reactivation_contacts,matched_opportunity_history_events,matched_inbound_opportunities,matched_soft_closed_leads,matched_usd_crm_leads,likely_company_category,likely_opportunity_bucket,follow_signal_confidence,company_follow_reason,signals
Insi,insi,2026-07-01,60,9,4,0,0,0,0,5,4,4,0,0,3,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_RECRUITER_SIGNAL; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
Kopius,kopius,2026-07-16,45,2,2,0,0,0,0,0,2,2,0,0,2,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_RECRUITER_SIGNAL; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
TechBridge,techbridge,2026-07-17,44,2,2,0,0,0,0,0,2,1,0,0,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_RECRUITER_SIGNAL; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
TeamUp,teamup,2026-07-02,59,3,1,2,0,0,0,0,3,3,0,0,3,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_RECRUITER_SIGNAL; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
Nitka,nitka,2026-06-30,61,2,1,0,0,0,0,0,2,3,0,0,2,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_RECRUITER_SIGNAL; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
FitNext Co.,fitnext,2026-07-16,45,2,1,0,0,0,0,0,2,2,0,1,2,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_RECRUITER_SIGNAL; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
Listo,listo,2026-08-04,26,1,1,0,0,0,0,0,1,1,0,0,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_RECRUITER_SIGNAL; RECENTLY_FOLLOWED_COMPANY; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
Data Meaning,data meaning,2026-07-11,50,1,1,0,0,0,0,0,1,1,0,0,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_RECRUITER_SIGNAL; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
Sinapse,sinapse,2026-05-26,96,1,1,0,0,0,0,1,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_RECRUITER_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
Nimble.LA,nimble la,2026-06-16,75,3,0,3,0,0,1,0,3,3,0,0,3,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_RECRUITER_SIGNAL; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
Cloud Employee,cloud employee,2026-08-14,16,2,0,2,0,0,0,1,1,1,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_RECRUITER_SIGNAL; RECENTLY_FOLLOWED_COMPANY; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
"Svitla Systems, Inc.",svitla systems,2026-08-13,17,1,0,1,0,0,0,0,1,1,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_RECRUITER_SIGNAL; RECENTLY_FOLLOWED_COMPANY; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
Prodezk,prodezk,2026-08-11,19,1,0,1,0,0,0,0,1,1,0,0,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_RECRUITER_SIGNAL; RECENTLY_FOLLOWED_COMPANY; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
PiplNow LLC,piplnow,2026-07-07,54,1,0,1,0,0,0,0,1,1,0,0,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_RECRUITER_SIGNAL; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
AMB Sports and Entertainment,amb sports and entertainment,2026-05-18,104,1,0,1,0,0,0,0,1,1,0,0,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_RECRUITER_SIGNAL; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
WPP Enterprise Solutions,wpp enterprise,2026-06-30,61,1,0,1,0,0,0,1,0,0,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_RECRUITER_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
Celonis,celonis,2026-08-22,8,3,0,0,0,0,0,1,2,2,0,0,2,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",RECENTLY_FOLLOWED_COMPANY; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
Grupo Educacional Primum,grupo educacional primum,2026-07-02,59,1,0,0,0,1,0,0,1,2,0,0,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
WeCogno,wecogno,2026-08-19,11,2,0,0,0,0,0,1,1,1,0,0,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",RECENTLY_FOLLOWED_COMPANY; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
Pixida do Brasil,pixida do,2026-07-06,55,2,0,0,1,0,0,1,1,1,0,0,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
Zukk,zukk,2026-06-08,83,2,0,0,1,0,0,1,1,1,0,0,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
Rising Capital Humano,rising capital humano,2026-08-14,16,1,0,0,0,0,0,0,1,1,0,0,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",RECENTLY_FOLLOWED_COMPANY; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
Recrucial,recrucial,2026-08-14,16,1,0,0,0,0,0,0,1,1,0,0,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",RECENTLY_FOLLOWED_COMPANY; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
Miner,miner,2026-08-06,24,1,0,0,0,0,0,0,1,1,0,0,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review",RECENTLY_FOLLOWED_COMPANY; FOLLOWED_COMPANY_WITH_MESSAGE_HISTORY; FOLLOWED_COMPANY_WITH_OPPORTUNITY_SIGNAL; FOLLOWED_COMPANY_NEEDS_REVIEW
