kpi,value
total_connections,10780
high_priority,206
medium_priority,3626
low_priority,6948
high_priority_pct,1.9
medium_priority_pct,33.6
recruiters_total,1193
talent_hr_total,1963
hiring_managers_total,77
data_leaders_total,874
data_peers_total,986
brazil_count,898
latam_usd_count,360
us_nearshore_count,262
spain_eu_count,100
europe_count,343
unknown_count,8817
unknown_pct,81.8
usd_opportunity_score,83.3
spain_readiness_score,87.0
market_readiness_score,84.8
usd_recruiters,64
usd_ta,62
usd_hiring_mgrs,5
usd_data_leaders,51
usd_high_priority,152
spain_recruiters,41
spain_ta,50
spain_hiring_mgrs,7
spain_data_leaders,53
spain_high_priority,48
missing_company_count,0
missing_company_pct,0.0
missing_position_count,0
missing_position_pct,0.0
brazil_pct,8.3
recruiter_pct,11.1
data_peer_pct,9.1
hr_pct,18.2
connected_last_30_days,697
connected_last_90_days,2412
connected_last_365_days,8838
network_is_usd_ready,True
network_is_spain_ready,True
top_priority_market,LATAM_USD
report_date,2026-06-27
