company_clean,count,avg_priority,top_persona,top_market
Itaú Unibanco,76,35.3,Other,BRAZIL
Hays,75,24.5,Other,UNKNOWN
GE Vernova,55,21.1,Other,UNKNOWN
SENAI CIMATEC,55,14.3,Other,UNKNOWN
Deloitte,50,28.7,Other,UNKNOWN
NTT DATA Europe & Latam,50,62.8,Other,LATAM_USD
Databricks,49,59.9,Other,US_CANADA_NEARSHORE
Grupo Boticário,48,23.1,Other,UNKNOWN
Michael Page,45,27.5,Other,UNKNOWN
Tata Consultancy Services,44,29.1,Other,UNKNOWN
Capgemini,43,29.7,Other,UNKNOWN
Bradesco,40,34.7,Other,BRAZIL
Larco Petróleo,40,13.5,Other,UNKNOWN
Randstad Brasil,39,24.5,Other,BRAZIL
iFood,36,30.1,Other,BRAZIL
CI&T,34,24.3,Other,UNKNOWN
IBM,32,26.8,Other,UNKNOWN
GE Renewable Energy,32,15.0,Other,UNKNOWN
EY,29,33.9,Other,UNKNOWN
LM Soluções de Mobilidade,28,14.2,Other,UNKNOWN
Zup Innovation,27,44.5,Other,BRAZIL
GFT Technologies,27,40.7,Other,UNKNOWN
AB InBev,26,28.0,Data Engineer,UNKNOWN
Nubank,25,38.2,Data Engineer,BRAZIL
Accenture,25,27.0,Other,UNKNOWN
act digital,25,32.4,Recruiter,UNKNOWN
TOTVS,24,30.6,Other,BRAZIL
Ford Motor Company,23,12.5,Other,UNKNOWN
SAP,22,46.0,Other,EUROPE
TELUS Digital,21,31.1,Other,UNKNOWN
Indicium AI,20,34.7,Other,BRAZIL
Mercado Livre,19,26.0,Other,UNKNOWN
Delivery Hero,19,56.1,Other,EUROPE
Serasa Experian,19,27.0,Other,UNKNOWN
Amazon Web Services (AWS),19,46.4,Other,US_CANADA_NEARSHORE
Globo,19,20.3,Other,UNKNOWN
Accenture Brasil,18,44.2,Other,BRAZIL
Freelance,18,28.6,Recruiter,UNKNOWN
Artefact,18,30.7,Data Engineer,UNKNOWN
Melt Group,18,21.3,Consultant,UNKNOWN
Stone,18,34.5,Other,BRAZIL
Google,17,50.9,Other,US_CANADA_NEARSHORE
Microsoft,17,51.3,Other,US_CANADA_NEARSHORE
LM Mobilidade,16,14.7,Other,UNKNOWN
Ambev Tech,16,39.4,HR,UNKNOWN
Randstad,15,28.6,Other,UNKNOWN
Stefanini Group,15,34.1,Other,UNKNOWN
Goldwind,14,15.6,Other,UNKNOWN
Thoughtworks,14,34.4,Other,UNKNOWN
Inter,14,26.2,Data Engineer,UNKNOWN
Factored,14,31.7,Data Engineer,UNKNOWN
PRINCIPIA,14,11.9,Other,UNKNOWN
NTConsult,14,31.6,Other,UNKNOWN
Sicredi,14,22.9,Other,UNKNOWN
Blip,14,23.9,Other,UNKNOWN
Banco Itaú,14,37.8,Data Engineer,BRAZIL
Qubika,14,35.1,Data Engineer,UNKNOWN
Amazon,14,52.1,Other,US_CANADA_NEARSHORE
YER Deutschland,14,40.9,Consultant,EUROPE
Stefanini Brasil,13,35.3,Other,BRAZIL
Santander Brasil,13,27.5,Other,BRAZIL
Avanade,13,33.5,Data Engineer,UNKNOWN
QuintoAndar,13,25.2,Other,UNKNOWN
Autônomo,13,22.6,Other,UNKNOWN
PetroReconcavo,12,14.6,Other,UNKNOWN
Adecco,12,25.9,Consultant,UNKNOWN
PicPay,12,28.8,Other,UNKNOWN
Globant,12,32.5,Other,UNKNOWN
Semantix,12,37.2,Other,BRAZIL
EPAM Systems,12,45.8,Recruiter,UNKNOWN
Compass UOL,11,26.5,Data Engineer,UNKNOWN
NTT DATA Business Solutions,11,42.4,Other,UNKNOWN
Capitani Group,11,23.6,Other,UNKNOWN
delaware Brasil,11,31.5,Other,BRAZIL
Nortal,11,29.0,Other,UNKNOWN
XP Inc,11,35.4,Data Engineer,BRAZIL
Datum,10,23.8,Other,UNKNOWN
Continental,10,9.5,Other,UNKNOWN
Shopee,10,21.1,Other,UNKNOWN
DBC Company,10,21.7,Other,UNKNOWN
