seniority,strategic_market,count
Director,UNKNOWN,566
Director,BRAZIL,75
Director,EUROPE,52
Director,LATAM_USD,42
Director,US_CANADA_NEARSHORE,12
Director,SPAIN_EU,9
Executive,UNKNOWN,377
Executive,BRAZIL,19
Executive,US_CANADA_NEARSHORE,17
Executive,LATAM_USD,11
Executive,EUROPE,9
Executive,SPAIN_EU,2
Founder,UNKNOWN,184
Founder,EUROPE,6
Founder,BRAZIL,2
Founder,LATAM_USD,2
Founder,SPAIN_EU,1
Founder,US_CANADA_NEARSHORE,1
Intern,UNKNOWN,62
Intern,BRAZIL,7
Intern,US_CANADA_NEARSHORE,2
Intern,EUROPE,1
Intern,LATAM_USD,1
Junior,UNKNOWN,276
Junior,BRAZIL,23
Junior,LATAM_USD,4
Junior,SPAIN_EU,3
Junior,US_CANADA_NEARSHORE,3
Junior,EUROPE,2
Lead,UNKNOWN,459
Lead,BRAZIL,48
Lead,LATAM_USD,33
Lead,EUROPE,30
Lead,US_CANADA_NEARSHORE,19
Lead,SPAIN_EU,3
Manager,UNKNOWN,1146
Manager,BRAZIL,192
Manager,LATAM_USD,62
Manager,EUROPE,59
Manager,US_CANADA_NEARSHORE,38
Manager,SPAIN_EU,23
Mid,UNKNOWN,1824
Mid,BRAZIL,188
Mid,US_CANADA_NEARSHORE,54
Mid,LATAM_USD,48
Mid,EUROPE,35
Mid,SPAIN_EU,17
Senior,UNKNOWN,961
Senior,BRAZIL,78
Senior,EUROPE,43
Senior,LATAM_USD,42
Senior,US_CANADA_NEARSHORE,39
Senior,SPAIN_EU,15
Unknown,UNKNOWN,2962
Unknown,BRAZIL,266
Unknown,LATAM_USD,115
Unknown,EUROPE,106
Unknown,US_CANADA_NEARSHORE,77
Unknown,SPAIN_EU,27
