month,inbound_opportunities,active_talent_pool,salary_requested,cv_requested,calls_requested,interviews,client_submissions,soft_closed_keep_radar,hard_rejections,location_blockers,reactivation_due,hot_opportunities,warm_opportunities
2020-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-01,0,0,0,0,0,0,0,0,0,0,1,0,1
2023-02,0,0,0,0,0,0,0,0,0,0,1,0,1
2023-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08,2,0,0,0,0,0,0,0,0,0,3,2,1
2023-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12,1,0,1,1,0,0,0,0,0,0,1,1,0
2024-02,1,0,1,1,0,0,0,0,0,0,1,1,0
2024-03,1,0,0,0,0,0,0,0,0,0,2,1,0
2024-04,2,0,1,1,0,0,0,0,0,0,2,2,0
2024-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06,1,0,0,0,0,0,0,0,0,0,1,1,0
2024-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08,1,0,0,1,0,0,0,0,0,0,1,1,0
2024-09,2,0,0,0,0,0,0,0,0,0,2,2,0
2024-10,1,0,1,0,0,0,0,0,0,0,1,1,1
2024-11,3,0,1,0,1,0,0,0,0,0,4,3,0
2024-12,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-01,1,0,0,1,0,0,0,0,0,0,0,1,0
2025-02,1,0,0,0,0,0,0,0,0,0,3,1,1
2025-03,1,0,0,1,0,0,0,0,0,0,0,1,0
2025-04,2,0,0,1,0,0,0,0,0,0,3,2,0
2025-05,5,0,0,0,0,0,0,0,0,0,5,5,0
2025-06,11,0,5,4,0,0,0,1,1,0,16,11,8
2025-07,5,0,0,0,2,0,0,0,0,0,37,6,1
2025-08,6,0,0,1,0,0,0,0,0,0,12,6,1
2025-09,2,0,0,0,0,0,0,1,0,0,7,2,2
2025-10,6,0,2,1,1,0,0,1,0,0,7,6,1
2025-11,6,0,1,2,0,0,0,2,0,0,10,6,4
2025-12,3,0,0,0,1,0,0,0,0,1,10,3,0
2026-01,11,0,0,0,0,0,0,3,0,0,12,11,3
2026-02,10,0,2,4,3,1,0,3,0,2,12,11,4
2026-03,4,0,1,2,1,0,0,0,0,0,9,4,1
2026-04,7,0,6,2,3,0,0,25,0,0,22,7,31
2026-05,10,0,8,14,1,0,0,11,0,0,79,10,26
2026-06,6,0,6,15,7,4,0,18,1,2,92,10,41
2026-07,14,1,5,15,7,2,0,16,1,0,120,16,34
2026-08,13,0,7,6,4,1,0,4,0,0,108,15,9
2026-09,0,0,0,0,0,0,0,0,0,0,42,0,0
2026-10,0,0,0,0,0,0,0,0,0,0,12,0,0
