market,persona,current_count,short_term_target,medium_term_target,short_term_gap,medium_term_gap,gap_pct_short,gap_pct_medium,priority
LATAM_USD,Hiring Manager,0,50,70,50,70,100,100,CRITICAL
US_CANADA_NEARSHORE,Engineering Manager,0,40,60,40,60,100,100,CRITICAL
US_CANADA_NEARSHORE,Data Engineering Manager,0,30,50,30,50,100,100,CRITICAL
LATAM_USD,Data Engineering Manager,0,30,50,30,50,100,100,CRITICAL
SPAIN_EU,Hiring Manager,0,15,60,15,60,100,100,CRITICAL
SPAIN_EU,Head of Data,0,10,50,10,50,100,100,CRITICAL
SPAIN_EU,Data Engineering Manager,0,10,40,10,40,100,100,CRITICAL
US_CANADA_NEARSHORE,Head of Data,1,30,50,29,49,97,98,CRITICAL
LATAM_USD,Head of Data,1,30,50,29,49,97,98,CRITICAL
BRAZIL,Data Engineering Manager,1,20,20,19,19,95,95,CRITICAL
US_CANADA_NEARSHORE,Hiring Manager,5,50,70,45,65,90,93,CRITICAL
US_CANADA_NEARSHORE,Talent Acquisition,15,60,80,45,65,75,81,HIGH
US_CANADA_NEARSHORE,Recruiter,23,80,100,57,77,71,77,HIGH
SPAIN_EU,Recruiter,7,20,80,13,73,65,91,HIGH
US_CANADA_NEARSHORE,Director,9,25,40,16,31,64,78,HIGH
BRAZIL,Head of Data,11,30,30,19,19,63,63,HIGH
EUROPE,Data Engineering Manager,2,5,30,3,28,60,93,HIGH
SPAIN_EU,Director,5,10,40,5,35,50,88,HIGH
LATAM_USD,Recruiter,44,80,100,36,56,45,56,MEDIUM
BRAZIL,Recruiter,39,50,50,11,11,22,22,MEDIUM
EUROPE,Head of Data,4,5,40,1,36,20,90,MEDIUM
LATAM_USD,Talent Acquisition,52,60,80,8,28,13,35,LOW
LATAM_USD,Director,30,20,40,0,10,0,25,LOW
SPAIN_EU,Talent Acquisition,25,15,60,0,35,0,58,LOW
EUROPE,Recruiter,31,10,60,0,29,0,48,LOW
EUROPE,Talent Acquisition,33,10,50,0,17,0,34,LOW
EUROPE,Director,30,5,30,0,0,0,0,LOW
BRAZIL,Data Engineer,97,30,30,0,0,0,0,LOW
