company_clean,opportunity_market_v5,count
Hays,GLOBAL_STAFFING,74
SENAI CIMATEC,BRAZIL_CONFIRMED,53
Grupo Boticário,BRAZIL_CONFIRMED,48
GE Vernova,GLOBAL_TECH,43
Larco Petróleo,BRAZIL_CONFIRMED,40
CI&T,GLOBAL_CONSULTING,33
GE Renewable Energy,GLOBAL_TECH,32
Michael Page,GLOBAL_STAFFING,31
LM Soluções de Mobilidade,BRAZIL_CONFIRMED,28
IBM,GLOBAL_CONSULTING,28
AB InBev,BRAZIL_CONFIRMED,25
Ford Motor Company,GLOBAL_TECH,24
GFT Technologies,GLOBAL_CONSULTING,22
Serasa Experian,GLOBAL_TECH,20
SAP,GLOBAL_TECH,19
Globo,BRAZIL_CONFIRMED,19
Amazon Web Services (AWS),GLOBAL_TECH,19
Artefact,GLOBAL_CONSULTING,19
Freelance,GLOBAL_OPPORTUNITY,17
Mercado Livre,BRAZIL_LIKELY,17
LM Mobilidade,BRAZIL_CONFIRMED,16
PRINCIPIA,BRAZIL_CONFIRMED,15
Qubika,LATAM_USD_LIKELY,15
Sicredi,BRAZIL_CONFIRMED,14
Goldwind,GLOBAL_TECH,14
Inter,BRAZIL_CONFIRMED,14
Randstad,GLOBAL_STAFFING,14
Factored,GLOBAL_OPPORTUNITY,13
Blip,BRAZIL_CONFIRMED,13
PicPay,BRAZIL_CONFIRMED,12
Stefanini Group,GLOBAL_CONSULTING,12
Continental,GLOBAL_TECH,11
Avanade,GLOBAL_OPPORTUNITY,11
Adecco,GLOBAL_STAFFING,10
Leidos,GLOBAL_CONSULTING,10
Korn Ferry,GLOBAL_STAFFING,9
Babbel,GLOBAL_OPPORTUNITY,9
EPAM Systems,GLOBAL_OPPORTUNITY,9
Randstad Enterprise,GLOBAL_STAFFING,9
Vale,BRAZIL_CONFIRMED,9
NTConsult,GLOBAL_OPPORTUNITY,8
PageGroup,GLOBAL_STAFFING,8
Self-employed,GLOBAL_OPPORTUNITY,8
SThree,GLOBAL_OPPORTUNITY,8
K2 Partnering Solutions,GLOBAL_OPPORTUNITY,8
Cielo,BRAZIL_CONFIRMED,8
Randstad Uruguay,GLOBAL_STAFFING,8
Zallpy Digital,GLOBAL_TECH,8
Oracle,GLOBAL_TECH,8
TELUS Digital,GLOBAL_TECH,8
TIVIT,GLOBAL_CONSULTING,8
Coforge,GLOBAL_OPPORTUNITY,8
Flink,GLOBAL_OPPORTUNITY,8
Asaas,GLOBAL_TECH,7
Walmart Chile,LATAM_USD_CONFIRMED,7
Robert Walters,LATAM_USD_LIKELY,7
Uber,US_CANADA_CONFIRMED,7
Profesional independiente,GLOBAL_OPPORTUNITY,7
Nortal,LATAM_USD_LIKELY,7
Neoenergia,BRAZIL_CONFIRMED,7
The Adecco Group,GLOBAL_STAFFING,7
Autônomo,SPAIN_EU_LIKELY,7
TELUS Digital,GLOBAL_OPPORTUNITY,7
emagine,GLOBAL_OPPORTUNITY,6
BCG X,GLOBAL_CONSULTING,6
Suzano,BRAZIL_CONFIRMED,6
Dev.Pro,GLOBAL_OPPORTUNITY,6
Inetum,GLOBAL_OPPORTUNITY,6
Hire With Near,GLOBAL_OPPORTUNITY,6
Data Mundo,GLOBAL_TECH,6
Decision,GLOBAL_OPPORTUNITY,6
Lojas Renner S.A,SPAIN_EU_LIKELY,6
"NTT DATA, Inc",GLOBAL_CONSULTING,6
LHH,GLOBAL_STAFFING,6
Insi,GLOBAL_OPPORTUNITY,6
Citi,GLOBAL_OPPORTUNITY,6
Sigma Software Group,GLOBAL_TECH,5
GetYourGuide,GLOBAL_OPPORTUNITY,5
HelloFresh,GLOBAL_OPPORTUNITY,5
Epsilon Solutions Ltd. SA de CV,GLOBAL_OPPORTUNITY,5
Strider,GLOBAL_OPPORTUNITY,5
F1RST Digital Services,GLOBAL_TECH,5
Gi Group Holding,GLOBAL_STAFFING,5
Andersen Lab,GLOBAL_OPPORTUNITY,5
PetroReconcavo,LANGUAGE_PORTUGUESE_MARKET,5
Amadeus Fire,SPAIN_EU_CONFIRMED,5
Opah IT,GLOBAL_OPPORTUNITY,5
Teleperformance,GLOBAL_OPPORTUNITY,5
Deutsche Bank,EUROPE_CONFIRMED,5
Robert Half,GLOBAL_STAFFING,5
Truelogic Software,GLOBAL_OPPORTUNITY,5
DBC Company,SPAIN_EU_LIKELY,5
KWS Group,EUROPE_CONFIRMED,5
Confidential,GLOBAL_OPPORTUNITY,5
Softtek,GLOBAL_CONSULTING,5
Page Personnel,GLOBAL_STAFFING,5
Construtora Tenda,BRAZIL_CONFIRMED,5
Nestlé,LATAM_USD_LIKELY,5
Mercado Libre,BRAZIL_LIKELY,5
ManpowerGroup,GLOBAL_STAFFING,5
