company_clean,connection_count,recruiter_count,talent_count,hiring_manager_count,data_leader_count,data_peer_count,avg_priority_score,top_persona,top_area,strategic_potential,suggested_market,suggested_confidence,suggested_reason,manual_market,manual_category,manual_notes
K2 Partnering Solutions,10,8,1,0,1,0,47.7,Recruiter,Recruiting,53.4,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'solutions',,,
XML International,1,1,0,0,0,0,93.0,Recruiter,Recruiting,49.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Infoplus Technologies UK Limited,2,1,1,0,0,0,80.5,Recruiter,Recruiting,46.0,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
ConfigUSA,1,1,0,0,0,0,84.0,Recruiter,Recruiting,45.1,US_CANADA_NEARSHORE,HIGH,company name contains geographic keyword: 'usa',,,
Onward Technologies Limited,1,0,1,0,0,0,85.0,Talent Acquisition,Recruiting,45.1,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
Practia Uruguay,2,1,1,0,0,0,78.0,Recruiter,Recruiting,44.7,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Committed Staff.AI,1,1,0,0,0,0,82.0,Recruiter,Recruiting,44.1,GLOBAL_TECH,LOW,company name contains tech keyword: 'ai',,,
SunnyData,3,1,1,1,0,0,67.7,Hiring Manager,Recruiting,43.7,GLOBAL_TECH,LOW,company name contains tech keyword: 'data',,,
Arroyo is becoming INSPYR Global Solutions,1,0,1,0,0,0,82.0,Talent Acquisition,Recruiting,43.6,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'solutions',,,
HERE Technologies,1,0,1,0,0,0,82.0,Talent Acquisition,Recruiting,43.6,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
Hays,74,4,1,0,5,0,23.2,Other,Other,43.5,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
mazzatech,4,4,0,0,0,0,61.8,Recruiter,Recruiting,43.3,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
SoftPath Technologies LLC,1,0,1,0,0,0,81.0,Talent Acquisition,Recruiting,43.1,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
CINTE Colombia,1,0,1,0,0,0,80.0,Talent Acquisition,Recruiting,42.6,LATAM_USD,HIGH,company name contains geographic keyword: 'colombia',,,
Jconnect Infotech Inc,1,1,0,0,0,0,79.0,Recruiter,Recruiting,42.6,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
Elbit Systems Israel,1,0,1,0,0,0,79.0,Talent Acquisition,Recruiting,42.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
METRICA Chile,1,1,0,0,0,0,78.0,Recruiter,Recruiting,42.1,LATAM_USD,HIGH,company name contains geographic keyword: 'chile',,,
Leidos,10,3,5,0,0,0,39.0,Talent Acquisition,Recruiting,42.0,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Decision,7,6,0,0,0,0,45.7,Recruiter,Recruiting,41.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Ensitech,4,4,0,0,0,0,58.5,Recruiter,Recruiting,41.6,GLOBAL_TECH,LOW,company name contains tech keyword: 'tech',,,
Adentis Portugal,1,1,0,0,0,0,77.0,Recruiter,Recruiting,41.6,EUROPE,HIGH,company name contains geographic keyword: 'portugal',,,
Re:Build Manufacturing,1,1,0,0,0,0,77.0,Recruiter,Recruiting,41.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Gensler Latinoamérica,1,0,1,0,0,0,76.0,Talent Acquisition,Recruiting,40.6,LATAM_USD,HIGH,company name contains geographic keyword: 'latin',,,
Kaizen Softworks,1,0,1,0,0,0,76.0,Talent Acquisition,Recruiting,40.6,GLOBAL_TECH,LOW,company name contains tech keyword: 'ai',,,
Massive Rocket | Global Braze & Snowflake Agency,1,0,0,0,1,0,77.0,Executive,Management,40.6,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
SII Group Chile,1,0,1,0,0,0,76.0,Talent Acquisition,Recruiting,40.6,LATAM_USD,HIGH,company name contains geographic keyword: 'chile',,,
Coforge,7,0,6,0,0,0,49.4,Talent Acquisition,Recruiting,40.4,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Praxis USA,2,0,2,0,0,0,70.5,Talent Acquisition,Recruiting,40.4,US_CANADA_NEARSHORE,HIGH,company name contains geographic keyword: 'usa',,,
HN Services Portugal,1,0,1,0,0,0,75.0,Talent Acquisition,Management,40.1,EUROPE,HIGH,company name contains geographic keyword: 'portugal',,,
ITTConnect,1,0,1,0,0,0,75.0,Talent Acquisition,Recruiting,40.1,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
Freelance,18,7,1,0,0,1,28.9,Recruiter,Recruiting,39.8,UNKNOWN,UNKNOWN,no usable signal found in company name or persona composition,,,
AROBS Software,1,1,0,0,0,0,73.0,Recruiter,Recruiting,39.6,GLOBAL_TECH,LOW,company name contains tech keyword: 'software',,,
Blend IT Consultoria,1,1,0,0,0,0,73.0,Recruiter,Recruiting,39.6,GLOBAL_CONSULTING,LOW,company name contains consulting keyword: 'consultoria',,,
