company_clean,connection_count,avg_priority_score,top_persona
QuintoAndar,10,26.3,Other
Global Group,9,11.0,Other
DIS AG,9,18.1,Other
Shopee,6,17.5,Other
Progressive Recruitment,5,20.6,Consultant
NUMEN,5,21.0,Other
EloGroup,5,28.0,Data Engineer
Grupo MAG,5,12.0,Other
Power Tuning,4,21.2,Other
banco BV,4,25.0,Product
Taylor Hopkinson | Powered by Brunel,4,23.0,Consultant
Wellhub,4,24.8,Data Engineer
The HEINEKEN Company,4,22.8,Other
Compass UOL,4,22.2,Data Analyst
Hotmart,4,30.8,Data Engineer
Brunel,4,23.2,Other
Cadastra,4,24.2,Data Analyst
Natura,4,20.5,Other
Neon,4,21.8,HR
Kienbaum,4,18.2,Other
Selbstständig,3,9.3,Other
Kenvue,3,20.3,Other
Landeshauptstadt München,3,31.0,Other
Philip Morris International,3,26.3,Other
Elevation Group,3,16.3,Other
Caterpillar Inc,3,19.0,Other
Autônoma,3,16.3,Consultant
Intellias,3,24.0,Other
Falconi,3,24.0,Data Engineer
FERCHAU,3,21.3,Other
Gupy,3,11.7,Other
AltoQi,3,27.7,Other
Advance Auto Parts,3,27.3,Data Scientist
Staan,3,21.0,Consultant
Sem Parar Corpay,3,20.0,Product
Ratbacher GmbH,3,17.3,Other
K&K Talents,3,17.0,Other
Xepelin,3,24.3,Other
artevie group,3,19.3,Other
"ANP - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",3,8.0,Other
AXS Logistiek,3,21.7,Other
Straumann Group,3,29.3,Other
Talent Match,3,17.3,Consultant
Tergos,3,20.7,Other
Vetta,3,23.0,HR
Visagio,3,18.0,Consultant
change,3,28.3,Consultant
Stadtwerke München GmbH,3,31.0,Other
Hitachi Energy,3,18.7,Operations
BEES,3,25.0,Other
Banco Bmg,3,27.3,Data Engineer
Benner,3,19.0,HR
SAUTER,3,25.7,HR
Quartile,3,21.7,Data Analyst
SOUTH SYSTEM,3,20.0,HR
Sparkassen-Personalberatung GmbH,2,12.0,Other
TECNOMEC ENGINEERING SRL,2,22.0,Other
Swap,2,31.5,Data Engineer
Universidade CIMATEC,2,8.0,Other
ValueNet Group,2,17.0,Other
TimePartner Personalmanagement GmbH,2,15.5,Consultant
SysManager,2,17.5,Data Engineer
Starian,2,25.0,Data Scientist
Splash,2,25.0,BI Analyst
Vericode,2,25.0,Other
Vestas,2,8.0,Other
Uncover,2,22.5,Data Scientist
