conversation_id_hash,previous_message_count,current_message_count,delta
392b686279,1,3,2
9efcb9528f,4,6,2
df9f198f7c,1,3,2
3173d12de9,1,4,3
fb1b47ffc0,1,3,2
3da36847a3,23,29,6
38d98107db,1,2,1
bc947c1fe0,1,4,3
bc9bd80854,4,5,1
63bc91aec4,12,16,4
c04c15817c,1,3,2
489e063e72,4,6,2
68578278d6,1,3,2
2b022c74a7,1,3,2
07c5449d28,1,3,2
59cad43f65,1,2,1
c8a744394b,5,6,1
06084d2bf3,1,6,5
9005c73023,1,5,4
b39f8b67ea,9,14,5
7a9d8152e2,1,6,5
4d00812777,1,4,3
8724f4da3e,1,3,2
7fa8e310a6,1,3,2
2c8a093b04,27,31,4
ad43e010b2,2,3,1
8b38c8b349,4,5,1
