category,metric,previous_value,current_value,absolute_delta,percentage_delta
NETWORK,total_connections,10780,10925,145,1.3
NETWORK,high_priority,204,214,10,4.9
NETWORK,medium_priority,3621,3692,71,2.0
NETWORK,actionable_contacts,10681,10825,144,1.3
PERSONAS,recruiters,1193,1207,14,1.2
PERSONAS,talent_acquisition_hr,1963,2018,55,2.8
PERSONAS,hiring_managers,77,76,-1,-1.3
PERSONAS,data_leaders,874,887,13,1.5
PERSONAS,data_peers,986,993,7,0.7
STRATEGIC,latam_usd,496,514,18,3.6
STRATEGIC,us_canada_nearshore,73,78,5,6.8
STRATEGIC,spain_eu,163,166,3,1.8
STRATEGIC,europe,220,227,7,3.2
STRATEGIC,global_staffing,382,383,1,0.3
STRATEGIC,global_consulting,896,908,12,1.3
STRATEGIC,global_tech,904,912,8,0.9
STRATEGIC,global_opportunity,2386,2425,39,1.6
STRATEGIC,needs_company_mapping,2165,2182,17,0.8
MESSAGE_INTELLIGENCE,conversations_analyzed,3423,3541,118,3.4
MESSAGE_INTELLIGENCE,needs_my_response,81,81,0,0.0
MESSAGE_INTELLIGENCE,hot_reactivation,29,29,0,0.0
MESSAGE_INTELLIGENCE,warm_reactivation,60,82,22,36.7
MESSAGE_INTELLIGENCE,dormant_warm,197,198,1,0.5
MESSAGE_INTELLIGENCE,follow_ups_due,732,720,-12,-1.6
MESSAGE_INTELLIGENCE,no_response,106,105,-1,-0.9
